Contract_number	Client_class
130602-103411	3.0
130623-134756	3.0
130706-124421	3.0
130722-165429	2.0
130625-112138	3.0
130615-171735	2.0
130625-094536	2.0
130708-170211	2.0
130722-153421	3.0
130624-100402	1.0
130731-111626	1.0
130603-184032	4.0
130620-181216	3.0
130719-093106	2.0
130729-092440	4.0
130622-132508	2.0
130616-164813	2.0
130713-111708	2.0
130619-092010	2.0
130622-171237	2.0
130710-090421	2.0
130723-104833	3.0
130617-163420	1.0
130619-195120	2.0
130708-121118	1.0
130619-183212	3.0
130620-135514	2.0
130711-090045	1.0
130710-091657	2.0
130711-162446	1.0
130615-113806	3.0
130724-085710	2.0
130727-093046	3.0
130619-173130	2.0
130702-185918	2.0
130612-102713	3.0
130722-141347	2.0
130725-120908	2.0
130607-164051	4.0
130621-173328	4.0
130719-113856	4.0
130730-162537	4.0
130606-115857	2.0
130629-112357	2.0
130722-120340	2.0
130613-143711	1.0
130622-124424	1.0
130705-102955	1.0
130720-113342	1.0
130606-141042	2.0
130622-144940	4.0
130718-095206	4.0
130718-151623	2.0
130617-135327	3.0
130614-190547	3.0
130716-132614	3.0
130610-140313	4.0
130624-131000	4.0
130613-143633	3.0
130727-124331	3.0
130716-122206	3.0
130603-102255	1.0
130614-122222	2.0
130729-144554	3.0
130602-101449	2.0
130709-155208	2.0
130615-170245	2.0
130719-161721	2.0
130602-110805	3.0
130701-115552	4.0
130719-094314	4.0
130701-154734	2.0
130616-150400	3.0
130623-130140	3.0
130606-093134	4.0
130618-084931	2.0
130707-144240	2.0
130717-174245	2.0
130620-112004	3.0
130707-162119	4.0
130703-111653	3.0
130718-155737	4.0
130627-092828	3.0
130712-100828	3.0
130607-095316	4.0
130627-124032	2.0
130709-165525	4.0
130729-123804	4.0
130618-103529	4.0
130625-193526	4.0
130707-102543	2.0
130609-103011	4.0
130609-153428	1.0
130625-143305	1.0
130622-131059	2.0
130725-181756	2.0
130607-160641	4.0
130717-123505	3.0
130626-122622	3.0
130729-140116	3.0
130601-162355	3.0
130619-163707	3.0
130729-094638	3.0
130620-085434	2.0
130719-083751	2.0
130613-143932	2.0
130611-162635	4.0
130621-131500	4.0
130711-110944	4.0
130712-125634	1.0
130721-092952	1.0
130705-103043	3.0
130729-132539	3.0
130711-102126	3.0
130622-093513	4.0
130629-090652	2.0
130723-094110	3.0
130615-091459	3.0
130626-132006	3.0
130626-104039	2.0
130625-101504	2.0
130702-133631	3.0
130731-112943	3.0
130607-160949	3.0
130624-092854	2.0
130727-111010	3.0
130627-092312	2.0
130628-114912	3.0
130715-133634	2.0
130612-144643	3.0
130602-121822	1.0
130618-180908	2.0
130703-182556	2.0
130721-105651	1.0
130709-112312	1.0
130723-163952	2.0
130630-121231	2.0
130612-120248	4.0
130710-171922	4.0
130619-155427	2.0
130731-164219	2.0
130605-093249	3.0
130705-133405	4.0
130604-182149	2.0
130701-144053	3.0
130713-165838	4.0
130719-154131	2.0
130614-092552	2.0
130605-103200	4.0
130619-182818	3.0
130619-145754	2.0
130706-123055	3.0
130722-150925	3.0
130605-114102	2.0
130612-131936	4.0
130625-143914	4.0
130709-122055	4.0
130613-143212	3.0
130727-133456	3.0
130613-180514	4.0
130711-150154	3.0
130706-113446	3.0
130607-125913	4.0
130610-101204	2.0
130708-123223	2.0
130606-162333	3.0
130621-145534	4.0
130706-110152	4.0
130606-115822	3.0
130622-140603	2.0
130626-161506	3.0
130717-161742	2.0
130726-164917	3.0
130731-150934	2.0
130630-093126	2.0
130703-075528	1.0
130724-081057	3.0
130608-122343	3.0
130627-105827	2.0
130722-151100	2.0
130622-123343	3.0
130718-173734	2.0
130719-180708	4.0
130607-153853	3.0
130623-115645	2.0
130705-180436	3.0
130717-122951	3.0
130610-094752	2.0
130621-101431	2.0
130731-125723	3.0
130620-091024	2.0
130725-090817	3.0
130630-091657	2.0
130728-092736	3.0
130611-132150	3.0
130710-113615	3.0
130710-133818	4.0
130616-123516	2.0
130624-124759	2.0
130707-153628	2.0
130727-155719	2.0
130610-104546	3.0
130701-125535	2.0
130712-134228	2.0
130725-101722	3.0
130611-183117	4.0
130627-181244	4.0
130601-150028	1.0
130609-104159	1.0
130625-154642	1.0
130724-150207	1.0
130716-095414	3.0
130727-164457	4.0
130610-145951	2.0
130618-133446	2.0
130722-153719	4.0
130718-113543	2.0
130625-124420	3.0
130715-143611	3.0
130621-093936	3.0
130726-101634	2.0
130714-121816	2.0
130612-110613	2.0
130609-144429	2.0
130619-172916	2.0
130627-103034	2.0
130625-105208	4.0
130725-105841	4.0
130729-101238	1.0
130607-175701	2.0
130607-132453	2.0
130701-103911	4.0
130627-123432	2.0
130712-161541	2.0
130727-134051	2.0
130726-100656	3.0
130601-144133	2.0
130708-114703	2.0
130613-172938	4.0
130606-104937	1.0
130621-152319	2.0
130702-115458	3.0
130716-161432	4.0
130610-132557	1.0
130610-171511	4.0
130627-104408	1.0
130727-111249	2.0
130624-133457	2.0
130722-105550	3.0
130607-123821	2.0
130625-090208	1.0
130612-181150	3.0
130619-093552	4.0
130713-132758	3.0
130726-175934	4.0
130624-140123	2.0
130609-130503	3.0
130619-151237	3.0
130702-185226	3.0
130625-174051	2.0
130614-145119	2.0
130619-131354	3.0
130718-114236	2.0
130621-162559	2.0
130724-185803	1.0
130614-182536	2.0
130613-174320	2.0
130621-122139	2.0
130627-104804	4.0
130702-095243	4.0
130613-152009	2.0
130622-103343	3.0
130710-180102	3.0
130713-164854	4.0
130730-184129	2.0
130622-094147	3.0
130629-160248	1.0
130619-100841	3.0
130724-154247	3.0
130702-131120	3.0
130622-120115	2.0
130727-113432	2.0
130626-170436	4.0
130614-155909	2.0
130629-124934	2.0
130714-153917	1.0
130603-122500	4.0
130626-102544	3.0
130726-185836	3.0
130711-102312	4.0
130627-135715	1.0
130714-153840	2.0
130607-155837	2.0
130701-154119	2.0
130725-131924	3.0
130608-152641	1.0
130610-120357	2.0
130611-172039	2.0
130619-123935	4.0
130702-164833	2.0
130705-132044	3.0
130712-130211	4.0
130718-115108	3.0
130625-163159	4.0
130726-181735	4.0
130608-091123	2.0
130624-115715	3.0
130608-160358	4.0
130614-141144	1.0
130705-101653	2.0
130627-161205	2.0
130613-120352	4.0
130607-102207	3.0
130621-105406	2.0
130607-143820	3.0
130611-100146	1.0
130624-143305	1.0
130621-134748	2.0
130627-120321	4.0
130712-112659	4.0
130601-100943	2.0
130608-110207	2.0
130614-165417	2.0
130615-103433	2.0
130623-091956	4.0
130627-170248	4.0
130607-170757	2.0
130614-115630	2.0
130626-130138	3.0
130708-100900	2.0
130604-134101	2.0
130621-103636	4.0
130722-102514	4.0
130625-104807	2.0
130717-100745	1.0
130729-115901	1.0
130730-103249	3.0
130608-143000	3.0
130621-140427	3.0
130623-174305	4.0
130711-145433	4.0
130727-101403	2.0
130625-153312	3.0
130724-161539	3.0
130606-164513	3.0
130628-113526	4.0
130618-103338	4.0
130711-132640	4.0
130608-123805	2.0
130623-101447	2.0
130715-154717	2.0
130605-123511	2.0
130607-121239	4.0
130610-110916	3.0
130726-115741	3.0
130730-103054	3.0
130611-165912	2.0
130610-145408	3.0
130610-112637	4.0
130601-123710	4.0
130701-171039	2.0
130627-095733	1.0
130614-081636	2.0
130701-135742	2.0
130725-084519	2.0
130616-104523	2.0
130716-124714	2.0
130730-150104	2.0
130724-121346	2.0
130606-131936	4.0
130620-153841	1.0
130701-111809	1.0
130729-172325	3.0
130626-135332	3.0
130624-090658	1.0
130710-090138	1.0
130722-155849	1.0
130608-125148	4.0
130711-093907	3.0
130615-141644	2.0
130625-093855	2.0
130721-141711	2.0
130616-131138	2.0
130612-145831	2.0
130705-133236	1.0
130730-095703	1.0
130615-163040	2.0
130619-114633	4.0
130604-092927	2.0
130701-121845	2.0
130713-143036	3.0
130620-132416	2.0
130604-142527	4.0
130616-101820	2.0
130628-155957	2.0
130713-105256	2.0
130610-091020	2.0
130622-093339	3.0
130611-161719	4.0
130714-094130	2.0
130721-093657	2.0
130608-110012	3.0
130624-104645	3.0
130626-162032	2.0
130718-162340	2.0
130705-151436	4.0
130610-121359	2.0
130718-103308	4.0
130629-104447	2.0
130704-100605	4.0
130725-114107	4.0
130621-181934	3.0
130715-113914	3.0
130618-125204	3.0
130722-171414	1.0
130710-151229	2.0
130602-134810	3.0
130614-175435	3.0
130620-161547	3.0
130617-135545	4.0
130705-121711	3.0
130714-090854	4.0
130703-144838	3.0
130717-093151	3.0
130712-150356	3.0
130620-100248	2.0
130731-112414	1.0
130608-111529	2.0
130618-140520	4.0
130609-163144	4.0
130712-142847	1.0
130617-124116	2.0
130706-103755	3.0
130614-130829	4.0
130712-164453	4.0
130724-134407	4.0
130607-160305	4.0
130709-135955	1.0
130723-122005	4.0
130704-105518	2.0
130712-122609	3.0
130720-130301	3.0
130614-100324	2.0
130708-141826	4.0
130618-110608	2.0
130715-113126	4.0
130627-094923	4.0
130712-100718	4.0
130710-092327	2.0
130613-103027	2.0
130724-101055	1.0
130610-154206	3.0
130621-152411	3.0
130720-153217	3.0
130619-102232	2.0
130712-100049	2.0
130625-123601	4.0
130726-125359	4.0
130602-172127	4.0
130708-174026	2.0
130709-144404	3.0
130603-143802	1.0
130629-111947	2.0
130728-084509	2.0
130619-102921	2.0
130723-120626	3.0
130607-131522	2.0
130610-130619	2.0
130729-091045	2.0
130618-110554	1.0
130715-104022	1.0
130711-145029	2.0
130609-122531	4.0
130612-172505	3.0
130622-122530	3.0
130723-155848	3.0
130616-144745	2.0
130627-182514	2.0
130710-163914	2.0
130726-154903	2.0
130617-170337	2.0
130710-145831	1.0
130716-142023	2.0
130703-135041	2.0
130626-115210	1.0
130726-113705	1.0
130618-093056	4.0
130716-164054	4.0
130601-173659	2.0
130614-141200	2.0
130714-131746	4.0
130617-124403	2.0
130725-131126	2.0
130716-120704	4.0
130622-100604	3.0
130717-092017	3.0
130612-134054	2.0
130722-104444	2.0
130614-134247	4.0
130709-143211	4.0
130618-164225	2.0
130630-182020	2.0
130715-153857	2.0
130731-092601	3.0
130630-101449	2.0
130627-114211	4.0
130625-113904	4.0
130706-153755	4.0
130603-114131	2.0
130615-143743	2.0
130708-114818	3.0
130714-155211	3.0
130604-143114	2.0
130613-134035	4.0
130621-161113	2.0
130701-110227	2.0
130714-120208	4.0
130607-162021	2.0
130623-121505	2.0
130614-125406	1.0
130625-151429	2.0
130712-090634	1.0
130622-114017	4.0
130704-172143	2.0
130726-154118	2.0
130603-181615	2.0
130628-172728	1.0
130713-141113	1.0
130726-144355	3.0
130609-173249	1.0
130625-111335	1.0
130730-195220	4.0
130629-090613	3.0
130601-174659	2.0
130618-165527	2.0
130612-103751	2.0
130725-174438	1.0
130728-171848	2.0
130612-131846	1.0
130610-151159	2.0
130624-165251	2.0
130707-120200	2.0
130725-171337	2.0
130602-084515	4.0
130628-115740	2.0
130611-172337	3.0
130605-141426	2.0
130625-094258	3.0
130725-132400	2.0
130621-111522	4.0
130731-101158	4.0
130701-180836	1.0
130605-145324	4.0
130611-152816	4.0
130626-123438	1.0
130604-170434	4.0
130616-110920	4.0
130626-161512	4.0
130627-100856	4.0
130713-165809	3.0
130731-120829	4.0
130721-121619	2.0
130616-135617	1.0
130630-123318	1.0
130707-135313	2.0
130614-131237	2.0
130628-152020	2.0
130715-102018	3.0
130728-112135	3.0
130610-101243	2.0
130611-163905	3.0
130706-152149	4.0
130608-145408	3.0
130621-171755	3.0
130705-145213	2.0
130609-154514	2.0
130626-173500	1.0
130615-101207	1.0
130627-162402	1.0
130713-101821	1.0
130726-171430	1.0
130701-114332	1.0
130718-123010	1.0
130613-132453	4.0
130611-160839	2.0
130701-174853	4.0
130711-164846	1.0
130702-140807	3.0
130716-154722	3.0
130614-161418	2.0
130709-163103	1.0
130731-092606	1.0
130701-130914	4.0
130630-120914	2.0
130706-181045	2.0
130612-114652	2.0
130706-092703	1.0
130707-120940	3.0
130727-102221	3.0
130617-102945	1.0
130731-100721	1.0
130730-092403	2.0
130629-100734	2.0
130613-162746	2.0
130730-172324	2.0
130630-101428	2.0
130718-101500	1.0
130616-161819	1.0
130709-130529	1.0
130627-174847	2.0
130728-114610	2.0
130610-192315	2.0
130615-094324	2.0
130629-104515	2.0
130731-160957	1.0
130714-144040	2.0
130614-092845	4.0
130711-102048	4.0
130710-133125	2.0
130701-134502	4.0
130725-135922	4.0
130702-102947	4.0
130729-162718	2.0
130621-135707	3.0
130712-132002	3.0
130613-184902	4.0
130624-134738	4.0
130614-154615	2.0
130709-090845	2.0
130716-160109	2.0
130617-180514	2.0
130617-095424	4.0
130726-164951	3.0
130625-105948	3.0
130605-100518	4.0
130710-113722	3.0
130613-105948	3.0
130627-162953	4.0
130711-181312	4.0
130706-103006	2.0
130728-103155	2.0
130727-131602	4.0
130616-145915	2.0
130624-112346	2.0
130710-170424	3.0
130627-113546	3.0
130729-120352	3.0
130610-162243	2.0
130717-134246	2.0
130726-174005	2.0
130702-095659	1.0
130722-095219	2.0
130611-114522	3.0
130625-161529	2.0
130729-165257	4.0
130629-100622	4.0
130727-110523	2.0
130609-110355	2.0
130612-175528	4.0
130624-143026	4.0
130708-133204	2.0
130712-110108	4.0
130610-115103	2.0
130629-094025	2.0
130727-091333	2.0
130612-163623	3.0
130612-140511	3.0
130628-152324	3.0
130725-112807	3.0
130722-161158	3.0
130612-154332	2.0
130719-160937	2.0
130617-190653	2.0
130624-170750	2.0
130717-180320	1.0
130723-183134	2.0
130608-174912	2.0
130623-164942	2.0
130721-110334	2.0
130627-101310	2.0
130717-095525	3.0
130616-091925	2.0
130709-094316	3.0
130604-153812	4.0
130609-153623	2.0
130625-155400	2.0
130709-095917	4.0
130607-113710	3.0
130701-105017	3.0
130603-163348	4.0
130616-180750	4.0
130617-164854	1.0
130702-123015	1.0
130716-172240	1.0
130729-165006	1.0
130627-120128	1.0
130728-160202	1.0
130629-103324	3.0
130728-140836	3.0
130619-130924	3.0
130628-103721	1.0
130731-174709	2.0
130703-145511	1.0
130709-113312	1.0
130715-094716	2.0
130612-120157	2.0
130626-125646	2.0
130715-101247	2.0
130627-153126	2.0
130704-094910	3.0
130605-142515	1.0
130611-192406	1.0
130626-112556	1.0
130714-094423	1.0
130619-155006	1.0
130708-172149	2.0
130724-152618	2.0
130614-125133	4.0
130621-101948	4.0
130609-182740	1.0
130630-145859	1.0
130708-100432	1.0
130723-164913	2.0
130624-104253	4.0
130730-100912	4.0
130624-155207	2.0
130611-094434	3.0
130625-144003	3.0
130716-154234	3.0
130709-100304	2.0
130716-121852	4.0
130614-172146	4.0
130614-184239	2.0
130715-111910	2.0
130617-091136	2.0
130726-185212	1.0
130613-142819	1.0
130628-172605	1.0
130716-104723	3.0
130620-095217	1.0
130719-150712	1.0
130730-141856	1.0
130701-132519	2.0
130723-142303	2.0
130703-132422	2.0
130613-173703	4.0
130626-160251	4.0
130622-172037	3.0
130604-173459	4.0
130618-165254	4.0
130607-101149	4.0
130706-091449	4.0
130720-085937	1.0
130728-093256	2.0
130611-181934	2.0
130622-120901	4.0
130731-161641	1.0
130619-151219	2.0
130610-163004	1.0
130712-143312	2.0
130721-151144	4.0
130714-174157	2.0
130618-161047	1.0
130627-152420	1.0
130715-165812	1.0
130614-095411	1.0
130715-144819	3.0
130726-090920	4.0
130624-181418	2.0
130715-164802	2.0
130607-122730	3.0
130620-142003	3.0
130625-175514	3.0
130701-124416	4.0
130620-104545	2.0
130629-093348	2.0
130721-105218	2.0
130607-170145	2.0
130726-130210	2.0
130709-155108	2.0
130722-111453	2.0
130611-145507	3.0
130624-111637	2.0
130619-143300	3.0
130718-121847	3.0
130626-124149	4.0
130614-162635	4.0
130627-121111	2.0
130630-172538	2.0
130730-183552	2.0
130620-104914	3.0
130719-113641	3.0
130715-091120	1.0
130601-101847	4.0
130703-091545	4.0
130728-095445	4.0
130601-111547	2.0
130623-155736	2.0
130628-130937	2.0
130731-114035	2.0
130601-122503	4.0
130601-115420	4.0
130601-121741	2.0
130610-154621	2.0
130622-114417	2.0
130710-160717	3.0
130601-122936	4.0
130613-102529	4.0
130730-174642	4.0
130601-124404	2.0
130723-103921	2.0
130601-140525	4.0
130607-102735	4.0
130623-104035	4.0
130713-090903	4.0
130601-141304	4.0
130615-112052	4.0
130719-133710	4.0
130601-183317	2.0
130608-152219	4.0
130622-121045	4.0
130705-133440	4.0
130722-152257	4.0
130601-105933	2.0
130601-101604	3.0
130727-102229	3.0
130601-112135	3.0
130701-154056	3.0
130725-095750	3.0
130601-123539	4.0
130601-123835	2.0
130701-141530	2.0
130721-103546	2.0
130601-143325	2.0
130617-165725	1.0
130626-131320	2.0
130708-180952	3.0
130601-110237	2.0
130621-161431	2.0
130725-160349	2.0
130601-151250	3.0
130622-101927	4.0
130601-150404	2.0
130601-140359	2.0
130601-095206	2.0
130601-113304	2.0
130618-122605	2.0
130601-115407	2.0
130604-101200	4.0
130621-125246	3.0
130705-102108	3.0
130705-173714	4.0
130601-122146	4.0
130622-102203	4.0
130714-141551	4.0
130601-133726	2.0
130721-110910	4.0
130601-130740	1.0
130702-150217	1.0
130730-130214	1.0
130601-142734	4.0
130615-114107	4.0
130601-143105	2.0
130601-161135	3.0
130710-104734	4.0
130601-154938	4.0
130628-190859	4.0
130601-163739	2.0
130703-145717	2.0
130601-164924	1.0
130613-172049	2.0
130621-172133	2.0
130730-174604	1.0
130601-152916	4.0
130601-103235	4.0
130601-123933	4.0
130601-120837	4.0
130601-134916	3.0
130627-143540	3.0
130601-105959	2.0
130716-113942	4.0
130601-111107	4.0
130627-134519	4.0
130601-145753	4.0
130601-161826	4.0
130602-150338	4.0
130601-183016	3.0
130601-100601	2.0
130626-175926	2.0
130711-170452	2.0
130601-111857	2.0
130601-130329	2.0
130601-133815	4.0
130601-131444	4.0
130601-145830	2.0
130705-163540	3.0
130601-114021	3.0
130705-161301	2.0
130718-090702	1.0
130719-120957	4.0
130601-105335	2.0
130601-155329	1.0
130601-102803	4.0
130601-170055	2.0
130617-154157	4.0
130601-123819	4.0
130708-124710	4.0
130601-111427	4.0
130622-122956	4.0
130601-132152	1.0
130721-131401	1.0
130730-180633	1.0
130601-133852	4.0
130601-144626	2.0
130713-154327	1.0
130601-161947	4.0
130608-145638	4.0
130601-160651	4.0
130601-165715	4.0
130601-155334	2.0
130614-170411	4.0
130601-184012	1.0
130601-094558	2.0
130612-111203	1.0
130629-090852	2.0
130730-095500	2.0
130601-095512	2.0
130601-150550	2.0
130601-122542	4.0
130601-132351	4.0
130601-130513	4.0
130704-094119	4.0
130715-115226	4.0
130601-154501	2.0
130718-180151	2.0
130601-173211	4.0
130601-172330	3.0
130601-105255	2.0
130601-122501	4.0
130601-131550	4.0
130601-161526	4.0
130601-153346	4.0
130601-152628	1.0
130620-160009	1.0
130630-125444	2.0
130717-163236	2.0
130728-110434	3.0
130601-102042	4.0
130602-131810	1.0
130702-094248	1.0
130602-125754	4.0
130602-100123	4.0
130625-094044	4.0
130727-095434	4.0
130602-113033	1.0
130609-122839	3.0
130728-124118	3.0
130730-172521	3.0
130731-165316	4.0
130602-130653	4.0
130602-100750	2.0
130602-155924	2.0
130602-123021	3.0
130602-102123	4.0
130602-101819	4.0
130621-102305	3.0
130602-113835	4.0
130602-125252	4.0
130623-195812	2.0
130602-095202	2.0
130602-103116	2.0
130703-114333	2.0
130602-120040	3.0
130715-153132	3.0
130602-120707	4.0
130712-102042	4.0
130602-110933	2.0
130716-120143	2.0
130602-124238	4.0
130602-101509	2.0
130602-111354	3.0
130702-110943	2.0
130717-124513	2.0
130602-120138	4.0
130705-130525	3.0
130602-124512	2.0
130602-133433	2.0
130613-170556	4.0
130624-121157	4.0
130703-171104	2.0
130707-122333	4.0
130602-185700	2.0
130602-142848	4.0
130608-115049	3.0
130602-155822	1.0
130705-162312	1.0
130602-173401	4.0
130610-131340	4.0
130724-163712	4.0
130602-095951	4.0
130611-101157	4.0
130711-135610	4.0
130602-130410	2.0
130622-090509	2.0
130701-090654	2.0
130725-090458	3.0
130602-131325	4.0
130602-133355	3.0
130614-173610	3.0
130602-134408	1.0
130711-135236	1.0
130602-150850	2.0
130623-092214	3.0
130602-153051	4.0
130602-164154	2.0
130614-172232	2.0
130625-170817	2.0
130728-111001	2.0
130602-152525	1.0
130624-093644	1.0
130712-093329	2.0
130727-190805	2.0
130602-142001	4.0
130630-133106	4.0
130716-175805	4.0
130602-142453	4.0
130723-184636	4.0
130602-145356	4.0
130602-144956	4.0
130709-152712	4.0
130603-100119	2.0
130603-120335	4.0
130603-113349	2.0
130731-103444	2.0
130603-113923	4.0
130617-121910	4.0
130603-125943	4.0
130603-133305	2.0
130623-095333	2.0
130603-155001	4.0
130603-154304	4.0
130603-162113	2.0
130618-122415	3.0
130603-165603	4.0
130603-113248	2.0
130603-111508	2.0
130703-132502	2.0
130731-105556	2.0
130603-094543	4.0
130704-145207	4.0
130603-101647	2.0
130603-105524	4.0
130603-120742	4.0
130603-131833	4.0
130603-131144	4.0
130603-130304	2.0
130603-150617	2.0
130618-135216	4.0
130626-115926	4.0
130712-162920	4.0
130603-133353	4.0
130603-114127	4.0
130622-104225	4.0
130718-182551	4.0
130603-125032	2.0
130603-140105	4.0
130603-141812	3.0
130729-162452	2.0
130603-135137	4.0
130702-160715	4.0
130603-141308	2.0
130617-145314	2.0
130630-110742	2.0
130603-163844	2.0
130603-164423	2.0
130603-171052	1.0
130724-165816	2.0
130603-153506	4.0
130628-140635	4.0
130708-141907	4.0
130603-184321	4.0
130617-184612	4.0
130629-101130	2.0
130729-184005	4.0
130603-183419	4.0
130626-163847	4.0
130719-164842	4.0
130603-194938	2.0
130603-124533	4.0
130621-152408	4.0
130603-111308	2.0
130704-104135	2.0
130603-171809	2.0
130613-120207	1.0
130603-093528	4.0
130603-130030	4.0
130603-110727	4.0
130603-113458	2.0
130731-110043	2.0
130603-115101	2.0
130713-155821	1.0
130603-122157	4.0
130603-141219	4.0
130707-115553	4.0
130603-163332	2.0
130603-145128	4.0
130603-150905	2.0
130703-105057	2.0
130603-152855	4.0
130603-194242	4.0
130603-184938	2.0
130630-150723	2.0
130727-113019	3.0
130603-091235	1.0
130620-131754	1.0
130603-101958	1.0
130622-090649	1.0
130707-111631	1.0
130603-104400	4.0
130618-161858	4.0
130704-144629	2.0
130603-113152	2.0
130624-114523	2.0
130708-091319	4.0
130603-114146	4.0
130603-123407	2.0
130612-113249	2.0
130627-113029	2.0
130717-132801	2.0
130603-124541	1.0
130706-125745	1.0
130603-130653	4.0
130603-141110	4.0
130603-142524	4.0
130603-161330	4.0
130603-164254	4.0
130603-184512	3.0
130603-122118	3.0
130603-115717	2.0
130703-102442	2.0
130603-122909	3.0
130603-115549	2.0
130614-160133	2.0
130629-101953	4.0
130730-165315	2.0
130603-101725	4.0
130617-182520	4.0
130708-132405	4.0
130603-132723	4.0
130623-143310	4.0
130710-160931	4.0
130603-104726	4.0
130721-180209	4.0
130603-111531	4.0
130603-112008	2.0
130603-113629	4.0
130603-113016	4.0
130603-112203	2.0
130603-124149	4.0
130713-091902	3.0
130730-132559	2.0
130603-131609	2.0
130616-101510	2.0
130728-101946	4.0
130603-144340	4.0
130603-152037	2.0
130622-120640	2.0
130715-162215	4.0
130729-131115	2.0
130603-173421	2.0
130724-095205	3.0
130603-132752	2.0
130603-120651	4.0
130617-103901	4.0
130603-112357	2.0
130721-094006	4.0
130603-124436	3.0
130603-134302	3.0
130603-134814	4.0
130603-143726	2.0
130619-160743	2.0
130720-182306	2.0
130603-141807	2.0
130709-113532	4.0
130603-163321	3.0
130603-180407	2.0
130603-173319	2.0
130603-173513	1.0
130609-124916	2.0
130625-183644	2.0
130724-124435	2.0
130603-181808	4.0
130603-183646	2.0
130623-140908	4.0
130604-102720	4.0
130621-154402	4.0
130709-095415	4.0
130604-105927	4.0
130604-114435	4.0
130604-115654	4.0
130604-121336	1.0
130604-193354	2.0
130604-130630	3.0
130604-134308	4.0
130604-140110	4.0
130702-140049	4.0
130604-145857	4.0
130604-165615	1.0
130614-131031	2.0
130714-175748	4.0
130604-100440	4.0
130604-110627	1.0
130618-110801	2.0
130628-125129	4.0
130604-115442	4.0
130604-113025	2.0
130712-121318	4.0
130604-113454	1.0
130604-123216	4.0
130604-133530	4.0
130624-142923	4.0
130722-093031	4.0
130604-152551	4.0
130604-163542	4.0
130604-185611	2.0
130628-132534	2.0
130726-165637	2.0
130604-184051	4.0
130604-125551	4.0
130621-182559	4.0
130604-104533	4.0
130617-113004	2.0
130704-103450	2.0
130604-084527	1.0
130609-082113	2.0
130622-094757	2.0
130705-153248	2.0
130724-093622	2.0
130604-102539	3.0
130604-104102	4.0
130604-114824	3.0
130619-083803	4.0
130604-133707	2.0
130620-155455	1.0
130701-153637	1.0
130719-164225	1.0
130604-135654	1.0
130617-163517	1.0
130714-092337	1.0
130604-175724	1.0
130628-111538	2.0
130604-182024	4.0
130604-201248	4.0
130604-144807	1.0
130621-140630	1.0
130730-173937	1.0
130604-162111	2.0
130613-153636	3.0
130702-092620	4.0
130717-165020	2.0
130604-152642	2.0
130614-114824	2.0
130716-102346	4.0
130604-094812	2.0
130626-092104	2.0
130604-112803	1.0
130604-095102	4.0
130604-112724	4.0
130604-111940	2.0
130604-115446	4.0
130720-145806	2.0
130727-160530	4.0
130604-120613	2.0
130620-110540	3.0
130604-123043	2.0
130729-123356	2.0
130604-133257	2.0
130612-103600	4.0
130604-151754	4.0
130604-151124	2.0
130604-171324	4.0
130604-134654	2.0
130604-132555	4.0
130604-120210	3.0
130604-122138	3.0
130604-141021	2.0
130615-092147	2.0
130625-112100	4.0
130713-101952	3.0
130724-164907	3.0
130604-164524	3.0
130604-171315	2.0
130703-160028	2.0
130731-160456	2.0
130604-104139	2.0
130623-133035	4.0
130604-102229	1.0
130614-174156	1.0
130626-091654	2.0
130720-104622	3.0
130604-125053	4.0
130730-151420	2.0
130604-120607	2.0
130702-120309	2.0
130712-103755	4.0
130724-105506	4.0
130604-123119	2.0
130604-124457	2.0
130604-131122	2.0
130604-144137	4.0
130604-154609	4.0
130604-155010	4.0
130610-165755	4.0
130703-121248	4.0
130720-160456	4.0
130604-165724	2.0
130604-174001	4.0
130604-113214	2.0
130604-114614	4.0
130604-101754	2.0
130701-105047	4.0
130604-173300	4.0
130604-170122	4.0
130613-140825	4.0
130702-134940	4.0
130716-133128	4.0
130604-171112	2.0
130625-163218	4.0
130723-161912	2.0
130604-191008	4.0
130604-094917	4.0
130711-094509	4.0
130604-121233	2.0
130626-100711	4.0
130604-124021	3.0
130619-142627	3.0
130725-113904	3.0
130604-130119	2.0
130703-185256	3.0
130604-151515	4.0
130620-142757	3.0
130604-114045	4.0
130702-160030	2.0
130604-121539	1.0
130612-172707	1.0
130701-134356	2.0
130706-153620	1.0
130714-131239	2.0
130729-110847	2.0
130604-135101	4.0
130604-160006	2.0
130702-111540	2.0
130715-153608	2.0
130729-155028	2.0
130604-162446	4.0
130626-102029	4.0
130604-165638	4.0
130604-090410	3.0
130604-183809	1.0
130605-095708	3.0
130704-173259	4.0
130729-130236	3.0
130605-174908	4.0
130629-130857	4.0
130605-092346	4.0
130605-105732	4.0
130605-105754	2.0
130706-105142	2.0
130605-115421	3.0
130605-112522	4.0
130708-121314	2.0
130605-141832	3.0
130605-114451	3.0
130701-101137	3.0
130605-125031	2.0
130605-153803	4.0
130605-162522	2.0
130627-124712	2.0
130723-101959	2.0
130605-174108	4.0
130615-124613	4.0
130715-145825	4.0
130605-181616	4.0
130703-110725	4.0
130605-183547	2.0
130605-200329	2.0
130605-130343	4.0
130605-151456	4.0
130605-163533	2.0
130613-092638	4.0
130605-153107	4.0
130716-141354	4.0
130605-164920	2.0
130605-162853	2.0
130708-124228	2.0
130730-132819	4.0
130605-170943	1.0
130627-133959	1.0
